Neighbourhood,Assault_CHG,AutoTheft_CHG,BreakandEnter_CHG,Homicide_CHG,Robbery_CHG,TheftOver_CHG
South Parkdale,0.14,0.18,0.14,1,-0.06,1.44
South Riverdale,-0.14,0,0.46,-1,-0.13,-0.13
St.Andrew-Windfields,0.05,0.67,0.02,0,2,0
Taylor-Massey,-0.01,0,0.54,1,-0.19,-0.25
Humber Summit,0.08,0.27,0.02,2,-0.1,0.47
Humbermede,0.35,0.21,0.39,0,-0.07,-0.2
Centennial Scarborough,0.04,0.9,0.81,-1,-0.83,0.5
Church-Yonge Corridor,0.15,-0.21,0.59,-0.5,-0.15,-0.02
Clairlea-Birchmount,-0.02,0.43,0,-0.67,0.32,0.17
Cliffcrest,0.01,-0.17,-0.1,-1,0.79,0
Flemingdon Park,0.05,0,0.14,0,-0.19,2
Corso Italia-Davenport,0,0.25,0.22,0,0.33,0.2
Ionview,-0.12,1.67,0,0,0.38,1
Junction Area,-0.33,-0.18,-0.32,0,-0.46,0.33
Broadview North,0.24,-0.57,2.13,-1,0,-0.5
Princess-Rosethorn,0.29,0.38,0.55,-1,2,-0.5
North Riverdale,0.25,0.91,0.26,0,0.17,0
Etobicoke West Mall,0.13,0.25,-0.5,2,1.5,1
Forest Hill North,0.26,0.3,-0.05,0,0.36,2
Glenfield-Jane Heights,0.13,0.34,0,2,-0.06,0.09
Greenwood-Coxwell,0.11,0.39,0.23,0,-0.41,-0.17
Guildwood,-0.4,0.5,-0.38,1,2.5,0
Trinity-Bellwoods,-0.11,0.19,0.75,0,0.09,-0.56
Victoria Village,0.18,0.38,0.71,1,0,0.25
Waterfront Communities-The Island,-0.07,-0.03,0.01,0,-0.18,0.24
West Hill,0.03,0.67,-0.24,1,0.45,-0.2
West Humber-Clairville,-0.18,-0.05,-0.22,2,-0.19,0.21
Westminster-Branson,0.02,-0.03,-0.05,0,-0.26,-0.5
Kennedy Park,0.04,-0.2,-0.15,-0.5,-0.13,-0.7
Kingsview Village-The Westway,-0.06,-0.25,-0.36,-1,-0.17,-0.33
Bayview Woods-Steeles,-0.08,1.57,-0.29,1,-0.29,0
Clanton Park,0.02,-0.05,-0.15,0,0.13,-0.56
Keelesdale-Eglinton West,-0.22,0.43,-0.42,1,-0.45,2
O'Connor-Parkview,0.04,0.45,1.08,0,0.5,0.17
Old East York,-0.22,-0.56,-0.54,-1,0.33,3
Casa Loma,0.22,-0.63,0.48,0,1,0
Kensington-Chinatown,-0.12,0.7,0.16,-1,-0.35,0.42
Kingsway South,-0.07,2.11,0.39,0,-0.2,0
Runnymede-Bloor West Village,0.22,0.12,0.14,0,0,0
Forest Hill South,0.37,-0.13,-0.17,0,0.78,1
Henry Farm,0.05,0.44,0.48,-1,-0.13,1.8
Annex,0.17,-0.09,0.23,-0.5,-0.26,-0.07
Caledonia-Fairbank,0.17,-0.15,0,0,0.8,1
Humber Heights-Westmount,-0.05,0.33,-0.34,-1,-0.6,1.5
Roncesvalles,0.17,-0.38,0.24,-0.5,-0.05,1
University,0.02,0,0.23,1,-0.37,-0.65
Hillcrest Village,0.11,0.04,-0.14,1,0,-0.14
Mount Dennis,0.01,0.38,-0.33,2,0.3,4
Dorset Park,-0.16,-0.25,-0.14,2,0,-0.47
Edenbridge-Humber Valley,0.38,0.28,0.2,0,0,0.33
Dovercourt-Wallace Emerson-Junction,0.08,-0.05,0.31,3,0,-0.36
Newtonbrook West,-0.03,0.07,-0.02,-1,-0.46,0.2
Niagara,0.02,0.57,1.08,-1,0.5,0.33
Beechborough-Greenbrook,0.49,0.18,-0.56,0,-0.08,2
High Park North,-0.14,0.2,0.11,0,-0.46,0.25
High Park-Swansea,0.37,0.43,0.24,1,1.31,3.33
Highland Creek,0.35,0.35,0.1,1,1.25,-0.67
North St.James Town,0.38,1.1,-0.01,0,0.06,3.67
Oakridge,-0.08,-0.38,-0.23,0,-0.09,0.5
Rosedale-Moore Park,-0.05,-0.1,0.6,-1,-0.05,0.4
Oakwood Village,0.24,0.41,1.45,2,1.33,0
Wexford/Maryvale,0.18,0.09,-0.15,0,-0.18,0.15
Eglinton East,0.07,2.11,0.29,1,-0.21,0.33
Elms-Old Rexdale,0.31,-0.13,0.43,0,0.17,3
Agincourt North,0,0,-0.19,0,-0.17,-0.5
Agincourt South-Malvern West,0.08,0.72,0.08,-1,-0.12,0.5
Englemount-Lawrence,0.18,-0.44,-0.37,-1,0.45,0
Eringate-Centennial-West Deane,0.29,0.52,-0.39,-0.5,0.09,0.25
L'Amoreaux,0.2,0.16,0.13,0,0.5,-0.78
Banbury-Don Mills,-0.04,0.56,-0.05,0,0.43,0.75
Bathurst Manor,-0.14,-0.25,-0.31,0,0.5,0.67
Alderwood,0.2,-0.44,0.13,0,-0.38,0
Regent Park,0.27,1.33,1.41,-0.5,-0.3,0
Bendale,-0.01,0,0.02,1,-0.13,-0.36
Birchcliffe-Cliffside,-0.01,0.04,-0.2,-1,0.42,-0.13
Weston-Pellam Park,0.33,0.15,0.04,0,-0.64,0.5
Downsview-Roding-CFB,0.02,0.42,0.35,2,-0.1,0
Lambton Baby Point,-0.07,-0.31,0.6,0,5,-0.5
Bay Street Corridor,0.13,0.04,0.14,0.5,-0.14,0.35
Black Creek,0.07,0.34,0.23,-1,0.62,0.13
Willowdale East,-0.02,0.54,0.16,0,-0.26,0.71
Willowdale West,0.05,1.07,-0.4,0,-0.24,0.67
Rouge,-0.01,0.58,-0.27,0,0.14,-0.19
Mount Olive-Silverstone-Jamestown,0.06,0.16,0.33,-0.25,-0.11,2
Cabbagetown-South St.James Town,0.29,0.29,1.77,0,-0.39,-0.2
Mount Pleasant East,0.38,0.23,0.26,0,0.86,-0.63
Mount Pleasant West,0.18,-0.15,0.34,2,-0.29,-0.13
Blake-Jones,0.13,-0.22,-0.33,-1,-0.44,3
Rexdale-Kipling,-0.21,-0.12,-0.17,2,0.05,0
East End-Danforth,0.05,-0.47,-0.22,-1,-0.16,0.13
New Toronto,0.06,0.83,0.14,-1,-0.11,0
Palmerston-Little Italy,0.16,-0.43,0.09,0,-0.25,0.08
Parkwoods-Donalda,0.11,0.6,-0.13,0,0.64,-0.17
Pelmo Park-Humberlea,0.04,0.07,-0.08,0,-0.6,1.33
Playter Estates-Danforth,0.16,0,0.52,-1,0.11,2
Willowridge-Martingrove-Richview,0.29,-0.21,-0.41,-0.5,1,-0.25
Woburn,0.16,0.02,0.01,0,-0.09,-0.38
Woodbine-Lumsden,-0.19,2.5,-0.17,1,-0.5,0.33
Bayview Village,0.1,3.11,-0.26,-1,1.33,0.86
Bedford Park-Nortown,0.48,0.29,-0.11,0,0.15,1.57
Rockcliffe-Smythe,0.12,-0.28,0.79,1,-0.42,-0.4
Bridle Path-Sunnybrook-York Mills,0.42,0.22,-0.04,0,12,-0.25
Don Valley Village,0.23,-0.19,-0.48,0,0,0.27
Weston,0.17,-0.16,0.53,1,-0.38,-0.5
Lawrence Park South,1,-0.1,0.61,0,1.6,1.67
Brookhaven-Amesbury,0.08,-0.24,0.52,0,-0.06,0
Long Branch,0.04,0.09,-0.26,0,2,-0.33
Malvern,0.22,0.11,-0.31,-0.67,0.02,-0.38
Dufferin Grove,-0.24,-0.65,-0.04,0,0.19,-0.11
Maple Leaf,-0.16,0.86,1.14,0,0.67,0
Markland Wood,-0.29,-0.55,0.04,0,2,0.5
Steeles,0.5,0.35,0.03,0,0,0.67
Lawrence Park North,0.9,-0.54,0.83,0,1.5,0
Yonge-Eglinton,0.32,-0.19,0.6,1,-0.35,0.6
Mimico,-0.33,1.73,0.56,1,-0.43,0.38
Morningside,0.32,-0.33,-0.11,0,0.43,1
Moss Park,0.17,-0.02,0.67,-0.25,-0.14,-0.29
Little Portugal,-0.04,0,0.04,-1,-0.23,-0.18
Woodbine Corridor,-0.03,-0.18,0.43,0,-0.52,-0.5
Newtonbrook East,0.05,1.45,-0.17,0,0.71,1
Milliken,0.27,-0.09,0.11,1,0.83,0.22
Pleasant View,0.19,0.85,-0.6,0,0.67,-0.2
Wychwood,-0.03,-0.68,0.57,0,-0.55,-1
Leaside-Bennington,-0.06,-0.27,0.38,0,-0.75,0.75
Briar Hill-Belgravia,-0.07,-0.47,0.46,0,0.04,0.75
Yonge-St.Clair,0.09,0,0.17,0,-0.2,1
York University Heights,0.04,0.57,-0.11,-1,-0.1,-0.26
Lansing-Westgate,-0.04,1,-0.22,-1,-0.69,0.83
Yorkdale-Glen Park,0.19,-0.03,0.31,-0.5,-0.05,0.45
Stonegate-Queensway,-0.06,0.1,0.64,0,-0.12,-0.43
Tam O'Shanter-Sullivan,-0.2,-0.22,-0.13,1,0.67,0
The Beaches,-0.14,-0.33,0.33,0,0.6,0.8
Thistletown-Beaumond Heights,0.48,0.19,-0.19,-1,-0.22,0.5
Thorncliffe Park,0.24,0.44,0.17,0,1.6,0.67
Danforth East York,0.04,-0.25,0.33,0,-0.25,2.5
Humewood-Cedarvale,-0.02,-0.33,-0.21,0,1.5,-0.43
Islington-City Centre West,-0.06,0.08,0.04,-0.5,0,-0.31
Danforth,-0.08,-0.3,0.25,-1,-0.38,-0.2
Rustic,-0.12,1.64,0.4,1,-0.67,-0.5
Scarborough Village,-0.02,-0.1,-0.11,0,1,-0.33
